Index	Direction	Time Mark	Status	Name	ID	Format	Type	DLC	Data	
0	Receive	18:00:00.708			0x00000100	Data	Standard	0x08	0A BC 00 00 00 00 00 00 	
1	Receive	18:00:00.715			0x00000101	Data	Standard	0x08	00 45 00 00 00 00 00 00 	
2	Receive	18:00:00.715			0x00000100	Data	Standard	0x08	0A BC 00 00 00 00 00 00 	
3	Receive	18:00:00.723			0x00000100	Data	Standard	0x08	0A BC 00 00 00 00 00 00 	
4	Receive	18:00:00.771			0x00000101	Data	Standard	0x08	00 45 00 00 00 00 00 00 	
5	Receive	18:00:00.869			0x00000100	Data	Standard	0x08	0A BC 00 00 00 00 00 00 	
6	Receive	18:00:00.924			0x00000101	Data	Standard	0x08	00 45 00 00 00 00 00 00 	
7	Receive	18:00:01.021			0x00000100	Data	Standard	0x08	0A BC 00 00 00 00 00 00 	
8	Receive	18:00:01.069			0x00000101	Data	Standard	0x08	00 45 00 00 00 00 00 00 	
9	Receive	18:00:01.174			0x00000100	Data	Standard	0x08	0A BC 00 00 00 00 00 00 	
10	Receive	18:00:01.223			0x00000101	Data	Standard	0x08	00 45 00 00 00 00 00 00 	
11	Receive	18:00:01.320			0x00000100	Data	Standard	0x08	0A BC 00 00 00 00 00 00 	
12	Receive	18:00:01.374			0x00000101	Data	Standard	0x08	00 45 00 00 00 00 00 00 	
13	Receive	18:00:01.472			0x00000100	Data	Standard	0x08	0A BC 00 00 00 00 00 00 	
14	Receive	18:00:01.521			0x00000101	Data	Standard	0x08	00 45 00 00 00 00 00 00 	
15	Receive	18:00:01.626			0x00000100	Data	Standard	0x08	0A BC 00 00 00 00 00 00 	
16	Receive	18:00:01.673			0x00000101	Data	Standard	0x08	00 45 00 00 00 00 00 00 	
17	Receive	18:00:01.778			0x00000100	Data	Standard	0x08	0A BC 00 00 00 00 00 00 	
18	Receive	18:00:01.827			0x00000101	Data	Standard	0x08	00 45 00 00 00 00 00 00 	
19	Receive	18:00:01.924			0x00000100	Data	Standard	0x08	0A BC 00 00 00 00 00 00 	
20	Receive	18:00:01.979			0x00000101	Data	Standard	0x08	00 45 00 00 00 00 00 00 	
21	Receive	18:00:02.076			0x00000100	Data	Standard	0x08	0A BC 00 00 00 00 00 00 	
22	Receive	18:00:02.125			0x00000101	Data	Standard	0x08	00 45 00 00 00 00 00 00 	
23	Receive	18:00:02.230			0x00000100	Data	Standard	0x08	0A BC 00 00 00 00 00 00 	
24	Receive	18:00:02.277			0x00000101	Data	Standard	0x08	00 45 00 00 00 00 00 00 	
