Index	Direction	Time Mark	Status	Name	ID	Format	Type	DLC	Data	
0	Receive	23:14:20.325			0x00000100	Data	Standard	0x08	0A BC 00 00 00 00 00 00 	
1	Receive	23:14:20.325			0x00000101	Data	Standard	0x08	00 45 00 00 00 00 00 00 	
2	Receive	23:14:20.419			0x00000100	Data	Standard	0x08	0A BC 00 00 00 00 00 00 	
3	Receive	23:14:20.434			0x00000101	Data	Standard	0x08	00 45 00 00 00 00 00 00 	
4	Receive	23:14:20.528			0x00000100	Data	Standard	0x08	0A BC 00 00 00 00 00 00 	
5	Receive	23:14:20.528			0x00000101	Data	Standard	0x08	00 45 00 00 00 00 00 00 	
6	Receive	23:14:20.623			0x00000100	Data	Standard	0x08	0A BC 00 00 00 00 00 00 	
7	Receive	23:14:20.637			0x00000101	Data	Standard	0x08	00 45 00 00 00 00 00 00 	
8	Receive	23:14:20.720			0x00000100	Data	Standard	0x08	0A BC 00 00 00 00 00 00 	
9	Receive	23:14:20.736			0x00000101	Data	Standard	0x08	00 45 00 00 00 00 00 00 	
10	Receive	23:14:20.823			0x00000100	Data	Standard	0x08	0A BC 00 00 00 00 00 00 	
11	Receive	23:14:20.840			0x00000101	Data	Standard	0x08	00 45 00 00 00 00 00 00 	
12	Receive	23:14:20.933			0x00000100	Data	Standard	0x08	0A BC 00 00 00 00 00 00 	
13	Receive	23:14:20.933			0x00000101	Data	Standard	0x08	00 45 00 00 00 00 00 00 	
14	Receive	23:14:21.023			0x00000100	Data	Standard	0x08	0A BC 00 00 00 00 00 00 	
15	Receive	23:14:21.039			0x00000101	Data	Standard	0x08	00 45 00 00 00 00 00 00 	
16	Receive	23:14:21.133			0x00000100	Data	Standard	0x08	0A BC 00 00 00 00 00 00 	
17	Receive	23:14:21.133			0x00000101	Data	Standard	0x08	00 45 00 00 00 00 00 00 	
18	Receive	23:14:21.228			0x00000100	Data	Standard	0x08	0A BC 00 00 00 00 00 00 	
19	Receive	23:14:21.243			0x00000101	Data	Standard	0x08	00 45 00 00 00 00 00 00 	
20	Receive	23:14:21.335			0x00000100	Data	Standard	0x08	0A BC 00 00 00 00 00 00 	
21	Receive	23:14:21.335			0x00000101	Data	Standard	0x08	00 45 00 00 00 00 00 00 	
22	Receive	23:14:21.425			0x00000100	Data	Standard	0x08	0A BC 00 00 00 00 00 00 	
23	Receive	23:14:21.441			0x00000101	Data	Standard	0x08	00 45 00 00 00 00 00 00 	
24	Receive	23:14:21.531			0x00000100	Data	Standard	0x08	0A BC 00 00 00 00 00 00 	
25	Receive	23:14:21.544			0x00000101	Data	Standard	0x08	00 45 00 00 00 00 00 00 	
26	Receive	23:14:21.636			0x00000100	Data	Standard	0x08	0A BC 00 00 00 00 00 00 	
27	Receive	23:14:21.636			0x00000101	Data	Standard	0x08	00 45 00 00 00 00 00 00 	
28	Receive	23:14:21.742			0x00000100	Data	Standard	0x08	0A BC 00 00 00 00 00 00 	
29	Receive	23:14:21.742			0x00000101	Data	Standard	0x08	00 45 00 00 00 00 00 00 	
30	Receive	23:14:21.838			0x00000100	Data	Standard	0x08	0A BC 00 00 00 00 00 00 	
31	Receive	23:14:21.838			0x00000101	Data	Standard	0x08	00 45 00 00 00 00 00 00 	
32	Receive	23:14:21.935			0x00000100	Data	Standard	0x08	0A BC 00 00 00 00 00 00 	
