Index	Direction	Time Mark	Status	Name	ID	Format	Type	DLC	Data	
0	Receive	22:45:48.397			0x00000101	Data	Standard	0x08	00 72 00 00 00 00 00 00 	
1	Receive	22:45:48.397			0x00000100	Data	Standard	0x08	0A BC 00 00 00 00 00 00 	
2	Receive	22:45:48.492			0x00000101	Data	Standard	0x08	00 70 00 00 00 00 00 00 	
3	Receive	22:45:48.492			0x00000100	Data	Standard	0x08	0A BC 00 00 00 00 00 00 	
4	Receive	22:45:48.587			0x00000101	Data	Standard	0x08	00 6F 00 00 00 00 00 00 	
5	Receive	22:45:48.587			0x00000100	Data	Standard	0x08	0A BC 00 00 00 00 00 00 	
6	Receive	22:45:48.688			0x00000101	Data	Standard	0x08	00 6D 00 00 00 00 00 00 	
7	Receive	22:45:48.688			0x00000100	Data	Standard	0x08	0A BC 00 00 00 00 00 00 	
8	Receive	22:45:48.794			0x00000101	Data	Standard	0x08	00 6C 00 00 00 00 00 00 	
9	Receive	22:45:48.794			0x00000100	Data	Standard	0x08	0A BC 00 00 00 00 00 00 	
10	Receive	22:45:48.885			0x00000101	Data	Standard	0x08	00 69 00 00 00 00 00 00 	
11	Receive	22:45:48.885			0x00000100	Data	Standard	0x08	0A BC 00 00 00 00 00 00 	
12	Receive	22:45:48.989			0x00000101	Data	Standard	0x08	00 67 00 00 00 00 00 00 	
13	Receive	22:45:48.989			0x00000100	Data	Standard	0x08	0A BC 00 00 00 00 00 00 	
14	Receive	22:45:49.093			0x00000101	Data	Standard	0x08	00 66 00 00 00 00 00 00 	
15	Receive	22:45:49.093			0x00000100	Data	Standard	0x08	0A BC 00 00 00 00 00 00 	
16	Receive	22:45:49.196			0x00000101	Data	Standard	0x08	00 65 00 00 00 00 00 00 	
17	Receive	22:45:49.196			0x00000100	Data	Standard	0x08	0A BC 00 00 00 00 00 00 	
18	Receive	22:45:49.288			0x00000101	Data	Standard	0x08	00 62 00 00 00 00 00 00 	
19	Receive	22:45:49.288			0x00000100	Data	Standard	0x08	0A BC 00 00 00 00 00 00 	
20	Receive	22:45:49.393			0x00000101	Data	Standard	0x08	00 61 00 00 00 00 00 00 	
21	Receive	22:45:49.393			0x00000100	Data	Standard	0x08	0A BC 00 00 00 00 00 00 	
22	Receive	22:45:49.491			0x00000101	Data	Standard	0x08	00 5E 00 00 00 00 00 00 	
23	Receive	22:45:49.491			0x00000100	Data	Standard	0x08	0A BC 00 00 00 00 00 00 	
24	Receive	22:45:49.588			0x00000101	Data	Standard	0x08	00 5C 00 00 00 00 00 00 	
25	Receive	22:45:49.588			0x00000100	Data	Standard	0x08	0A BC 00 00 00 00 00 00 	
26	Receive	22:45:49.698			0x00000101	Data	Standard	0x08	00 5A 00 00 00 00 00 00 	
27	Receive	22:45:49.698			0x00000100	Data	Standard	0x08	0A BC 00 00 00 00 00 00 	
28	Receive	22:45:49.793			0x00000101	Data	Standard	0x08	00 58 00 00 00 00 00 00 	
29	Receive	22:45:49.793			0x00000100	Data	Standard	0x08	0A BC 00 00 00 00 00 00 	
30	Receive	22:45:49.885			0x00000101	Data	Standard	0x08	00 56 00 00 00 00 00 00 	
31	Receive	22:45:49.885			0x00000100	Data	Standard	0x08	0A BC 00 00 00 00 00 00 	
32	Receive	22:45:49.993			0x00000101	Data	Standard	0x08	00 53 00 00 00 00 00 00 	
33	Receive	22:45:49.993			0x00000100	Data	Standard	0x08	0A BC 00 00 00 00 00 00 	
34	Receive	22:45:50.086			0x00000101	Data	Standard	0x08	00 52 00 00 00 00 00 00 	
35	Receive	22:45:50.086			0x00000100	Data	Standard	0x08	0A BC 00 00 00 00 00 00 	
36	Receive	22:45:50.196			0x00000101	Data	Standard	0x08	00 4F 00 00 00 00 00 00 	
37	Receive	22:45:50.196			0x00000100	Data	Standard	0x08	0A BC 00 00 00 00 00 00 	
38	Receive	22:45:50.285			0x00000101	Data	Standard	0x08	00 4D 00 00 00 00 00 00 	
39	Receive	22:45:50.285			0x00000100	Data	Standard	0x08	0A BC 00 00 00 00 00 00 	
40	Receive	22:45:50.390			0x00000101	Data	Standard	0x08	00 4C 00 00 00 00 00 00 	
41	Receive	22:45:50.390			0x00000100	Data	Standard	0x08	0A BC 00 00 00 00 00 00 	
42	Receive	22:45:50.488			0x00000101	Data	Standard	0x08	00 4B 00 00 00 00 00 00 	
43	Receive	22:45:50.488			0x00000100	Data	Standard	0x08	0A BC 00 00 00 00 00 00 	
44	Receive	22:45:50.585			0x00000101	Data	Standard	0x08	00 49 00 00 00 00 00 00 	
45	Receive	22:45:50.599			0x00000100	Data	Standard	0x08	0A BC 00 00 00 00 00 00 	
46	Receive	22:45:50.693			0x00000101	Data	Standard	0x08	00 46 00 00 00 00 00 00 	
47	Receive	22:45:50.693			0x00000100	Data	Standard	0x08	0A BC 00 00 00 00 00 00 	
48	Receive	22:45:50.792			0x00000101	Data	Standard	0x08	00 45 00 00 00 00 00 00 	
49	Receive	22:45:50.792			0x00000100	Data	Standard	0x08	0A BC 00 00 00 00 00 00 	
50	Receive	22:45:50.892			0x00000101	Data	Standard	0x08	00 42 00 00 00 00 00 00 	
