Index	Direction	Time Mark	Status	Name	ID	Format	Type	DLC	Data	
0	Receive	22:54:17.190			0x00000101	Data	Standard	0x08	00 02 00 00 00 00 00 00 	
1	Receive	22:54:17.190			0x00000100	Data	Standard	0x08	0A BC 00 00 00 00 00 00 	
2	Receive	22:54:17.302			0x00000101	Data	Standard	0x08	00 04 00 00 00 00 00 00 	
3	Receive	22:54:17.302			0x00000100	Data	Standard	0x08	0A BC 00 00 00 00 00 00 	
4	Receive	22:54:17.392			0x00000101	Data	Standard	0x08	00 07 00 00 00 00 00 00 	
5	Receive	22:54:17.392			0x00000100	Data	Standard	0x08	0A BC 00 00 00 00 00 00 	
6	Receive	22:54:17.501			0x00000101	Data	Standard	0x08	00 0A 00 00 00 00 00 00 	
7	Receive	22:54:17.501			0x00000100	Data	Standard	0x08	0A BC 00 00 00 00 00 00 	
8	Receive	22:54:17.595			0x00000101	Data	Standard	0x08	00 0C 00 00 00 00 00 00 	
9	Receive	22:54:17.595			0x00000100	Data	Standard	0x08	0A BC 00 00 00 00 00 00 	
10	Receive	22:54:17.689			0x00000101	Data	Standard	0x08	00 0F 00 00 00 00 00 00 	
11	Receive	22:54:17.689			0x00000100	Data	Standard	0x08	0A BC 00 00 00 00 00 00 	
12	Receive	22:54:17.798			0x00000101	Data	Standard	0x08	00 10 00 00 00 00 00 00 	
13	Receive	22:54:17.798			0x00000100	Data	Standard	0x08	0A BC 00 00 00 00 00 00 	
14	Receive	22:54:17.898			0x00000101	Data	Standard	0x08	00 13 00 00 00 00 00 00 	
15	Receive	22:54:17.898			0x00000100	Data	Standard	0x08	0A BC 00 00 00 00 00 00 	
16	Receive	22:54:17.992			0x00000101	Data	Standard	0x08	00 16 00 00 00 00 00 00 	
17	Receive	22:54:17.992			0x00000100	Data	Standard	0x08	0A BC 00 00 00 00 00 00 	
18	Receive	22:54:18.102			0x00000101	Data	Standard	0x08	00 18 00 00 00 00 00 00 	
19	Receive	22:54:18.102			0x00000100	Data	Standard	0x08	0A BC 00 00 00 00 00 00 	
20	Receive	22:55:08.109			0x00000101	Data	Standard	0x08	00 09 00 00 00 00 00 00 	
21	Receive	22:55:08.109			0x00000100	Data	Standard	0x08	0A BC 00 00 00 00 00 00 	
22	Receive	22:55:08.215			0x00000101	Data	Standard	0x08	00 06 00 00 00 00 00 00 	
23	Receive	22:55:08.215			0x00000100	Data	Standard	0x08	0A BC 00 00 00 00 00 00 	
24	Receive	22:55:08.303			0x00000101	Data	Standard	0x08	00 04 00 00 00 00 00 00 	
25	Receive	22:55:08.303			0x00000100	Data	Standard	0x08	0A BC 00 00 00 00 00 00 	
26	Receive	22:55:08.415			0x00000101	Data	Standard	0x08	00 01 00 00 00 00 00 00 	
27	Receive	22:55:08.415			0x00000100	Data	Standard	0x08	0A BC 00 00 00 00 00 00 	
28	Receive	22:55:08.506			0x00000101	Data	Standard	0x08	00 FF 00 00 00 00 00 00 	
29	Receive	22:55:08.506			0x00000100	Data	Standard	0x08	0A BC 00 00 00 00 00 00 	
30	Receive	22:55:08.602			0x00000101	Data	Standard	0x08	00 02 00 00 00 00 00 00 	
31	Receive	22:55:08.602			0x00000100	Data	Standard	0x08	0A BC 00 00 00 00 00 00 	
32	Receive	22:55:08.713			0x00000101	Data	Standard	0x08	00 03 00 00 00 00 00 00 	
33	Receive	22:55:08.713			0x00000100	Data	Standard	0x08	0A BC 00 00 00 00 00 00 	
34	Receive	22:55:08.809			0x00000101	Data	Standard	0x08	00 05 00 00 00 00 00 00 	
35	Receive	22:55:08.809			0x00000100	Data	Standard	0x08	0A BC 00 00 00 00 00 00 	
36	Receive	22:55:08.906			0x00000101	Data	Standard	0x08	00 06 00 00 00 00 00 00 	
37	Receive	22:55:08.906			0x00000100	Data	Standard	0x08	0A BC 00 00 00 00 00 00 	
38	Receive	22:55:09.016			0x00000101	Data	Standard	0x08	00 07 00 00 00 00 00 00 	
39	Receive	22:55:09.016			0x00000100	Data	Standard	0x08	0A BC 00 00 00 00 00 00 	
40	Receive	22:55:09.109			0x00000101	Data	Standard	0x08	00 09 00 00 00 00 00 00 	
41	Receive	22:55:09.109			0x00000100	Data	Standard	0x08	0A BC 00 00 00 00 00 00 	
42	Receive	22:55:09.203			0x00000101	Data	Standard	0x08	00 0C 00 00 00 00 00 00 	
43	Receive	22:55:09.203			0x00000100	Data	Standard	0x08	0A BC 00 00 00 00 00 00 	
44	Receive	22:55:09.313			0x00000101	Data	Standard	0x08	00 0D 00 00 00 00 00 00 	
45	Receive	22:55:09.313			0x00000100	Data	Standard	0x08	0A BC 00 00 00 00 00 00 	
46	Receive	22:55:09.408			0x00000101	Data	Standard	0x08	00 0F 00 00 00 00 00 00 	
47	Receive	22:55:09.408			0x00000100	Data	Standard	0x08	0A BC 00 00 00 00 00 00 	
48	Receive	22:55:09.504			0x00000101	Data	Standard	0x08	00 12 00 00 00 00 00 00 	
49	Receive	22:55:09.504			0x00000100	Data	Standard	0x08	0A BC 00 00 00 00 00 00 	
50	Receive	22:55:09.617			0x00000101	Data	Standard	0x08	00 13 00 00 00 00 00 00 	
51	Receive	22:55:09.617			0x00000100	Data	Standard	0x08	0A BC 00 00 00 00 00 00 	
52	Receive	22:55:09.711			0x00000101	Data	Standard	0x08	00 14 00 00 00 00 00 00 	
53	Receive	22:55:09.711			0x00000100	Data	Standard	0x08	0A BC 00 00 00 00 00 00 	
54	Receive	22:55:09.805			0x00000101	Data	Standard	0x08	00 17 00 00 00 00 00 00 	
55	Receive	22:55:09.805			0x00000100	Data	Standard	0x08	0A BC 00 00 00 00 00 00 	
56	Receive	22:55:09.917			0x00000101	Data	Standard	0x08	00 1A 00 00 00 00 00 00 	
57	Receive	22:55:09.917			0x00000100	Data	Standard	0x08	0A BC 00 00 00 00 00 00 	
58	Receive	22:55:10.010			0x00000101	Data	Standard	0x08	00 1C 00 00 00 00 00 00 	
59	Receive	22:55:10.010			0x00000100	Data	Standard	0x08	0A BC 00 00 00 00 00 00 	
60	Receive	22:55:10.109			0x00000101	Data	Standard	0x08	00 1E 00 00 00 00 00 00 	
61	Receive	22:55:10.109			0x00000100	Data	Standard	0x08	0A BC 00 00 00 00 00 00 	
62	Receive	22:55:10.206			0x00000101	Data	Standard	0x08	00 1F 00 00 00 00 00 00 	
63	Receive	22:55:10.206			0x00000100	Data	Standard	0x08	0A BC 00 00 00 00 00 00 	
64	Receive	22:55:10.305			0x00000101	Data	Standard	0x08	00 22 00 00 00 00 00 00 	
65	Receive	22:55:10.305			0x00000100	Data	Standard	0x08	0A BC 00 00 00 00 00 00 	
66	Receive	22:55:10.404			0x00000101	Data	Standard	0x08	00 23 00 00 00 00 00 00 	
67	Receive	22:55:10.404			0x00000100	Data	Standard	0x08	0A BC 00 00 00 00 00 00 	
68	Receive	22:55:10.515			0x00000101	Data	Standard	0x08	00 24 00 00 00 00 00 00 	
69	Receive	22:55:10.515			0x00000100	Data	Standard	0x08	0A BC 00 00 00 00 00 00 	
70	Receive	22:55:10.609			0x00000101	Data	Standard	0x08	00 26 00 00 00 00 00 00 	
71	Receive	22:55:10.609			0x00000100	Data	Standard	0x08	0A BC 00 00 00 00 00 00 	
72	Receive	22:55:10.713			0x00000101	Data	Standard	0x08	00 29 00 00 00 00 00 00 	
73	Receive	22:55:10.713			0x00000100	Data	Standard	0x08	0A BC 00 00 00 00 00 00 	
74	Receive	22:55:10.806			0x00000101	Data	Standard	0x08	00 2A 00 00 00 00 00 00 	
75	Receive	22:55:10.806			0x00000100	Data	Standard	0x08	0A BC 00 00 00 00 00 00 	
76	Receive	22:55:10.902			0x00000101	Data	Standard	0x08	00 2D 00 00 00 00 00 00 	
77	Receive	22:55:10.906			0x00000100	Data	Standard	0x08	0A BC 00 00 00 00 00 00 	
78	Receive	22:55:11.005			0x00000101	Data	Standard	0x08	00 2F 00 00 00 00 00 00 	
79	Receive	22:55:11.005			0x00000100	Data	Standard	0x08	0A BC 00 00 00 00 00 00 	
80	Receive	22:55:11.115			0x00000101	Data	Standard	0x08	00 31 00 00 00 00 00 00 	
81	Receive	22:55:11.115			0x00000100	Data	Standard	0x08	0A BC 00 00 00 00 00 00 	
82	Receive	22:55:11.211			0x00000101	Data	Standard	0x08	00 34 00 00 00 00 00 00 	
83	Receive	22:55:11.211			0x00000100	Data	Standard	0x08	0A BC 00 00 00 00 00 00 	
84	Receive	22:55:11.310			0x00000101	Data	Standard	0x08	00 36 00 00 00 00 00 00 	
85	Receive	22:55:11.310			0x00000100	Data	Standard	0x08	0A BC 00 00 00 00 00 00 	
86	Receive	22:55:11.403			0x00000101	Data	Standard	0x08	00 38 00 00 00 00 00 00 	
87	Receive	22:55:11.403			0x00000100	Data	Standard	0x08	0A BC 00 00 00 00 00 00 	
88	Receive	22:55:11.502			0x00000101	Data	Standard	0x08	00 3A 00 00 00 00 00 00 	
89	Receive	22:55:11.517			0x00000100	Data	Standard	0x08	0A BC 00 00 00 00 00 00 	
90	Receive	22:55:11.613			0x00000101	Data	Standard	0x08	00 3C 00 00 00 00 00 00 	
91	Receive	22:55:11.613			0x00000100	Data	Standard	0x08	0A BC 00 00 00 00 00 00 	
92	Receive	22:55:11.713			0x00000101	Data	Standard	0x08	00 3F 00 00 00 00 00 00 	
93	Receive	22:55:11.713			0x00000100	Data	Standard	0x08	0A BC 00 00 00 00 00 00 	
94	Receive	22:55:11.803			0x00000101	Data	Standard	0x08	00 42 00 00 00 00 00 00 	
95	Receive	22:55:11.803			0x00000100	Data	Standard	0x08	0A BC 00 00 00 00 00 00 	
96	Receive	22:55:11.903			0x00000101	Data	Standard	0x08	00 44 00 00 00 00 00 00 	
97	Receive	22:55:11.903			0x00000100	Data	Standard	0x08	0A BC 00 00 00 00 00 00 	
98	Receive	22:55:12.012			0x00000101	Data	Standard	0x08	00 47 00 00 00 00 00 00 	
99	Receive	22:55:12.012			0x00000100	Data	Standard	0x08	0A BC 00 00 00 00 00 00 	
100	Receive	22:55:12.104			0x00000101	Data	Standard	0x08	00 4A 00 00 00 00 00 00 	
101	Receive	22:55:12.104			0x00000100	Data	Standard	0x08	0A BC 00 00 00 00 00 00 	
102	Receive	22:55:12.212			0x00000101	Data	Standard	0x08	00 4C 00 00 00 00 00 00 	
