Index	Direction	Time Mark	Status	Name	ID	Format	Type	DLC	Data	
0	Receive	23:01:57.098			0x00000101	Data	Standard	0x08	00 36 00 00 00 00 00 00 	
1	Receive	23:01:57.098			0x00000100	Data	Standard	0x08	0A BC 00 00 00 00 00 00 	
2	Receive	23:01:57.198			0x00000101	Data	Standard	0x08	00 34 00 00 00 00 00 00 	
3	Receive	23:01:57.198			0x00000100	Data	Standard	0x08	0A BC 00 00 00 00 00 00 	
4	Receive	23:01:57.294			0x00000101	Data	Standard	0x08	00 31 00 00 00 00 00 00 	
5	Receive	23:01:57.294			0x00000100	Data	Standard	0x08	0A BC 00 00 00 00 00 00 	
6	Receive	23:01:57.396			0x00000101	Data	Standard	0x08	00 2F 00 00 00 00 00 00 	
7	Receive	23:01:57.396			0x00000100	Data	Standard	0x08	0A BC 00 00 00 00 00 00 	
8	Receive	23:01:57.493			0x00000101	Data	Standard	0x08	00 2C 00 00 00 00 00 00 	
9	Receive	23:01:57.493			0x00000100	Data	Standard	0x08	0A BC 00 00 00 00 00 00 	
10	Receive	23:01:57.594			0x00000101	Data	Standard	0x08	00 2A 00 00 00 00 00 00 	
11	Receive	23:01:57.594			0x00000100	Data	Standard	0x08	0A BC 00 00 00 00 00 00 	
12	Receive	23:01:57.690			0x00000101	Data	Standard	0x08	00 28 00 00 00 00 00 00 	
13	Receive	23:01:57.690			0x00000100	Data	Standard	0x08	0A BC 00 00 00 00 00 00 	
14	Receive	23:01:57.799			0x00000101	Data	Standard	0x08	00 25 00 00 00 00 00 00 	
15	Receive	23:01:57.799			0x00000100	Data	Standard	0x08	0A BC 00 00 00 00 00 00 	
16	Receive	23:01:57.892			0x00000101	Data	Standard	0x08	00 22 00 00 00 00 00 00 	
17	Receive	23:01:57.892			0x00000100	Data	Standard	0x08	0A BC 00 00 00 00 00 00 	
18	Receive	23:01:58.000			0x00000101	Data	Standard	0x08	00 1F 00 00 00 00 00 00 	
19	Receive	23:01:58.000			0x00000100	Data	Standard	0x08	0A BC 00 00 00 00 00 00 	
20	Receive	23:01:58.094			0x00000101	Data	Standard	0x08	00 1E 00 00 00 00 00 00 	
21	Receive	23:01:58.094			0x00000100	Data	Standard	0x08	0A BC 00 00 00 00 00 00 	
22	Receive	23:01:58.190			0x00000101	Data	Standard	0x08	00 1D 00 00 00 00 00 00 	
23	Receive	23:01:58.190			0x00000100	Data	Standard	0x08	0A BC 00 00 00 00 00 00 	
24	Receive	23:01:58.300			0x00000101	Data	Standard	0x08	00 1B 00 00 00 00 00 00 	
25	Receive	23:01:58.300			0x00000100	Data	Standard	0x08	0A BC 00 00 00 00 00 00 	
26	Receive	23:01:58.390			0x00000101	Data	Standard	0x08	00 18 00 00 00 00 00 00 	
27	Receive	23:01:58.390			0x00000100	Data	Standard	0x08	0A BC 00 00 00 00 00 00 	
28	Receive	23:01:58.488			0x00000101	Data	Standard	0x08	00 16 00 00 00 00 00 00 	
29	Receive	23:01:58.488			0x00000100	Data	Standard	0x08	0A BC 00 00 00 00 00 00 	
